# unix_time, cycles_done, cur_path, paths_total, pending_total, pending_favs, map_size, unique_crashes, unique_hangs, max_depth, execs_per_sec
1622302826, 296132, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302831, 300431, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302836, 304699, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302841, 309088, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302846, 313263, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302851, 317598, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302856, 321756, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302861, 325935, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302866, 329963, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302871, 334031, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302877, 338318, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302882, 342485, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302887, 346453, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302892, 350408, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302897, 354309, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302902, 358177, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302907, 361879, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302913, 365722, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302918, 369542, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302923, 373349, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302928, 377209, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302933, 381074, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302938, 384874, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302944, 388721, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302949, 392392, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302954, 396187, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302959, 399952, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302964, 403441, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302969, 406953, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302975, 410554, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302980, 413996, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302985, 417532, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302990, 421099, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622302995, 424639, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303000, 428248, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303005, 431580, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303010, 435109, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303015, 438575, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303020, 442159, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303025, 445623, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303031, 449049, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303036, 452389, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303041, 455761, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303046, 459056, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303051, 462377, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303056, 465712, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303061, 469073, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303067, 472498, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303072, 475825, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303077, 479142, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303082, 482515, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303087, 485635, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303092, 488689, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303097, 491953, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303102, 495195, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303107, 498414, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303113, 501656, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303118, 504871, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303123, 507992, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303128, 511155, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303133, 514354, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303138, 517547, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303143, 520637, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303148, 523786, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303153, 526861, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303159, 529981, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303164, 533012, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303169, 535963, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
1622303174, 539079, 0, 6, 0, 0, 0.05%, 0, 0, 1, 0.00
