Code;Repetition;Time;Bugs
tiffsplit;1;86114;14
tiffsplit;2;85980;14
tiffsplit;3;77575;59
tiffsplit;4;80750;58
tiffsplit;5;86161;21
tiffsplit;6;86105;25
tiffsplit;7;82318;37
tiffsplit;8;82368;22
tiffsplit;9;84172;35
tiffsplit;10;83660;50
tiffsplit;11;84320;51
tiffsplit;12;83149;33
tiffsplit;13;86069;53
tiffsplit;14;83019;18
tiffsplit;15;83085;63
