Code;Repetition;Time;Bugs
pngtest;1;0;0
pngtest;2;0;0
pngtest;3;0;0
pngtest;4;0;0
pngtest;5;0;0
pngtest;6;0;0
pngtest;7;0;0
pngtest;8;0;0
pngtest;9;0;0
pngtest;10;0;0
pngtest;11;0;0
pngtest;12;0;0
pngtest;13;0;0
pngtest;14;0;0
pngtest;15;0;0
