Code;Repetition;Time;Bugs
pdftotext;1;75759;3
pdftotext;2;0;0
pdftotext;3;84913;28
pdftotext;4;84978;16
pdftotext;5;74543;36
pdftotext;6;0;0
pdftotext;7;0;0
pdftotext;8;77982;1
pdftotext;9;85340;6
pdftotext;10;0;0
pdftotext;11;85800;34
pdftotext;12;82909;28
pdftotext;13;85610;17
pdftotext;14;76890;17
pdftotext;15;74107;37
