Code;Repetition;Time;Bugs
tiffsplit;1;83274;73
tiffsplit;2;75838;54
tiffsplit;3;83384;18
tiffsplit;4;85585;161
tiffsplit;5;83934;8
tiffsplit;6;84767;107
tiffsplit;7;75735;64
tiffsplit;8;79770;77
tiffsplit;9;72074;98
tiffsplit;10;82043;96
tiffsplit;11;71228;62
tiffsplit;12;82957;77
tiffsplit;13;51838;92
tiffsplit;14;71768;68
tiffsplit;15;85239;123
