Code;Repetition;Time;Bugs
jpegtran;1;17066;2
jpegtran;2;2749;3
jpegtran;3;81726;25
jpegtran;4;4743;1
jpegtran;5;12321;2
jpegtran;6;0;0
jpegtran;7;32711;2
jpegtran;8;19518;1
jpegtran;9;6022;3
jpegtran;10;31566;6
jpegtran;11;7962;2
jpegtran;12;6717;3
jpegtran;13;13048;4
jpegtran;14;59291;8
jpegtran;15;16584;4
