Code;Repetition;Time;Bugs
tiffsplit;1;85068;48
tiffsplit;2;84816;48
tiffsplit;3;9216;8
tiffsplit;4;78624;103
tiffsplit;5;0;0
tiffsplit;6;83952;56
tiffsplit;7;82332;45
tiffsplit;8;85320;53
tiffsplit;9;63000;156
tiffsplit;10;85536;87
tiffsplit;11;54216;105
tiffsplit;12;84168;63
tiffsplit;13;65520;98
tiffsplit;14;74448;61
tiffsplit;15;66870;113
