Code;Repetition;Time;Bugs
size;1;50742;1
size;2;59304;1
size;3;75494;1
size;4;0;0
size;6;0;0
size;7;0;0
size;8;0;0
size;9;0;0
size;10;0;0
size;11;0;0
size;12;0;0
size;13;0;0
size;14;0;0
size;15;0;0
size;16;49033;1
